㛏 ㄡˋ
㛐 ㄙㄡˇ
㛑 ㄘㄢˋ
㛒 ㄉㄡˋ
㛔 ㄆㄥˊ
㛕 ㄧˋ
㛗 ㄗㄨㄛˋ
㛘 ㄆㄛˋ
㛙 ㄑㄧㄝˋ
㛚 ㄊㄨㄥˇ
㛛 ㄒㄧㄣˋ
㛜 ㄧㄡˊ
㛝 ㄅㄟˋ
㛞 ㄌㄨㄥˋ
㛥 ㄊㄚˋ
㛦 ㄌㄢˇ
㛧 ㄇㄢˇ
㛨 ㄑㄧㄤˇ
㛩 ㄓㄡˊ
㛪 ㄧㄢˋ
㛬 ㄌㄨˋ
㛮 ㄙㄠˇ
㛯 ㄇㄧㄢˇ
㛱 ㄖㄨㄟˋ
㛲 ㄈㄚˋ
㛳 ㄔㄚˋ
㛴 ㄋㄠˇ
㛶 ㄔㄡˊ
㛸 ㄕㄨˋ
㛹 ㄆㄧㄢˊ
㛻 ㄎㄨㄟˇ
㛼 ㄕㄚˋ
㛾 ㄒㄧㄢˊ
㛿 ㄓˋ
㜃 ㄌㄧㄢˋ
㜄 ㄒㄩㄣˊ
㜅 ㄒㄩˋ
㜆 ㄇㄧˋ
㜇 ㄏㄨㄟˋ
㜈 ㄇㄨˋ
㜊 ㄆㄤˋ
㜋 ㄧˋ
㜌 ㄍㄡˋ
㜍 ㄊㄤˊ
㜎 ㄑㄧˊ
㜏 ㄩㄣˊ
㜐 ㄕㄨˋ
㜑 ㄈㄨˊ
㜒 ㄧˋ
㜓 ㄉㄚˊ
㜕 ㄌㄧㄢˊ
㜖 ㄘㄠˊ
㜗 ㄘㄢˇ
㜘 ㄐㄩˋ
㜙 ㄌㄨˋ
㜚 ㄙㄨˋ
㜛 ㄋㄣˋ
㜜 ㄠˋ
㜝 ㄢˇ
㜞 ㄑㄧㄢˋ
㜣 ㄖㄢˊ
㜤 ㄕㄣˇ
㜥 ㄇㄞˊ
㜦 ㄏㄢˋ
㜧 ㄩㄝˋ
㜨 ㄦˊ
㜩 ㄠˋ
㜪 ㄒㄧㄢˇ
㜫 ㄇㄚˋ
㜮 ㄌㄢˋ
㜰 ㄩㄝˋ
㜱 ㄉㄨㄥˋ
㜲 ㄨㄥˇ
㜳 ㄏㄨㄞˊ
㜴 ㄇㄥˋ
㜵 ㄋㄧㄠˇ
㜶 ㄨㄢˇ
㜷 ㄇㄧˊ
㜸 ㄋㄧㄝˋ
㜹 ㄑㄩˊ
㜺 ㄗㄢˋ
㜻 ㄌㄧㄢˋ
㜼 ㄓˊ
㜽 ㄗˇ
㜾 ㄏㄞˊ
㜿 ㄒㄩˋ
㝀 ㄏㄠˋ
㝁 ㄒㄩㄣˊ
㝂 ㄓˋ
㝃 ㄈㄢˋ
㝄 ㄔㄨㄣˊ
㝅 ㄍㄡˋ
㝇 ㄔㄨㄣˊ
㝈 ㄌㄨㄢˊ
㝉 ㄓㄨˋ
㝊 ㄕㄡˇ
㝋 ㄌㄧㄠˊ
㝌 ㄐㄧㄝˊ
㝍 ㄒㄧㄝˇ
㝎 ㄉㄧㄥˋ
㝏 ㄐㄧㄝˋ
㝐 ㄖㄨㄥˊ
㝑 ㄇㄤˊ
㝓 ㄍㄜˊ
㝔 ㄧㄠˋ
㝕 ㄋㄧㄥˊ
㝖 ㄧˊ
㝗 ㄌㄤˊ
㝘 ㄩㄥˊ
㝙 ㄧㄣˊ
㝛 ㄙㄨˋ
㝝 ㄌㄧㄣˊ
㝞 ㄧㄚˋ
㝟 ㄇㄠˊ
㝠 ㄇㄧㄥˊ
㝡 ㄗㄨㄟˋ
㝢 ㄩˇ
㝣 ㄧㄝˋ
㝤 ㄍㄡˋ
㝥 ㄇㄧˇ
㝦 ㄐㄩㄣˋ
㝧 ㄨㄣˇ
㝪 ㄉㄧㄢˋ
㝫 ㄌㄨㄥˊ
㝭 ㄒㄧㄥˇ
㝮 ㄘㄨㄟˋ
㝯 ㄑㄧㄠˊ
㝰 ㄇㄧㄢˊ
㝱 ㄇㄥˋ
㝲 ㄑㄧㄣˇ
㝴 ㄨㄢˊ
㝵 ㄉㄜˊ
㝶 ㄞˋ
㝸 ㄅㄧㄢˋ
㝹 ㄋㄡˊ
㝺 ㄌㄧㄢˊ
㝻 ㄐㄧㄣˇ
㝽 ㄔㄨㄟˊ
㝾 ㄗㄨㄛˇ
㝿 ㄅㄛˊ
㞁 ㄧㄠˋ
㞂 ㄊㄨㄟˇ
㞃 ㄐㄧˊ
㞅 ㄍㄨㄛˇ
㞆 ㄐㄧˇ
㞇 ㄨㄟˇ
㞊 ㄒㄩˋ
㞋 ㄋㄧㄢˇ
㞌 ㄩㄣˋ
㞎 ㄅㄚˇ
㞏 ㄓㄜˊ
㞐 ㄐㄩ
㞑 ㄨㄟˇ
㞒 ㄒㄧˋ
㞓 ㄑㄧˇ
㞔 ㄧˊ
㞕 ㄒㄧㄝˋ
㞖 ㄘˋ
㞗 ㄑㄧㄡˊ
㞘 ㄊㄨㄣˊ
㞙 ㄋㄧㄠˋ
㞚 ㄑㄧˋ
㞛 ㄐㄧˇ
㞞 ㄙㄨㄥˊ
㞟 ㄉㄧㄢˋ
㞠 ㄌㄠˊ
㞡 ㄓㄢˇ
㞤 ㄧㄣˊ
㞥 ㄘㄣˊ
㞦 ㄐㄧˇ
㞧 ㄏㄨㄟˋ
㞨 ㄗㄞˇ
㞩 ㄌㄢˊ
㞪 ㄋㄠˊ
㞫 ㄐㄩˋ
㞬 ㄑㄧㄣˋ
㞭 ㄉㄞˋ
㞯 ㄐㄧㄝˊ
㞰 ㄒㄩˇ
㞲 ㄩㄥˋ
㞳 ㄉㄡˇ
㞴 ㄔˊ
